42
25,12,70,25,2
125,12,70,25,3
225,12,70,25,1
325,12,70,25,1
425,12,70,25,3
525,12,70,25,3
625,12,70,25,3
725,12,70,25,1
825,12,70,25,1
925,12,70,25,3
1025,12,70,25,3
45,50,70,25,3
145,50,70,25,1
245,50,70,25,2
345,50,70,25,1
445,50,70,25,1
545,50,70,25,2
645,50,70,25,2
745,50,70,25,2
845,50,70,25,3
945,50,70,25,1
20,100,70,25,3
120,100,70,25,3
220,100,70,25,3
320,100,70,25,2
420,100,70,25,1
520,100,70,25,1
620,100,70,25,3
720,100,70,25,3
820,100,70,25,1
920,100,70,25,3
1020,100,70,25,2
45,150,70,25,1
145,150,70,25,2
245,150,70,25,1
345,150,70,25,3
445,150,70,25,2
545,150,70,25,3
645,150,70,25,1
745,150,70,25,2
845,150,70,25,1
945,150,70,25,3
560,630,50,20,0,0
560,530,120,30,10,3,0
